HGNC	Tissue
RAB7A	skin 1
RAB7A	skeletal muscle
RAB7A	skin 1
RAB7A	testis
RAB7A	thyroid gland
RAB7A	cervix, uterine
RAB7A	colon
RAB7A	tonsil
RAB7A	skin 2
RAB7A	tonsil
RAB7A	tonsil
RAB7A	testis
RAB7A	skin 1
RAB7A	stomach 1
RAB7A	stomach 2
RAB7A	soft tissue 1
RAB7A	small intestine
RAB7A	smooth muscle
LAMP3	ovary
LAMP3	pancreas
LAMP3	heart muscle
LAMP3	hippocampus
LAMP3	skin 2
LAMP3	small intestine
LAMP3	smooth muscle
LAMP3	soft tissue 1
LAMP3	nasopharynx
LAMP3	oral mucosa
LAMP3	ovary
LAMP3	lymph node
LAMP3	vagina
LAMP3	pancreas
LAMP3	parathyroid gland
LAMP3	breast
LAMP3	placenta
LAMP3	prostate
LAMP3	rectum
LAMP3	placenta
LAMP3	lymph node
LAMP3	appendix
LAMP3	appendix
LAMP3	bone marrow
LAMP3	skin 1
LAMP3	skin 1
LAMP3	skin 1
LAMP3	colon
LAMP3	colon
LAMP3	colon
LAMP3	duodenum
LAMP3	endometrium 1
LAMP3	endometrium 1
LAMP3	endometrium 2
LAMP3	endometrium 2
LAMP3	epididymis
LAMP3	esophagus
LAMP3	fallopian tube
LAMP3	gallbladder
LAMP3	soft tissue 2
LAMP3	hippocampus
LAMP3	kidney
LAMP3	kidney
LAMP3	liver
LAMP3	liver
LAMP3	lung
LAMP3	lung
LAMP3	adrenal gland
LAMP3	tonsil
LAMP3	tonsil
LAMP3	tonsil
LAMP3	urinary bladder
LAMP3	cerebral cortex
LAMP3	cervix, uterine
LAMP3	cervix, uterine
LAMP3	breast
LAMP3	breast
LAMP3	bronchus
LAMP3	caudate
LAMP3	caudate
LAMP3	salivary gland
LAMP3	seminal vesicle
LAMP3	skeletal muscle
LAMP3	skin 1
LAMP3	cerebral cortex
LAMP3	soft tissue 2
LAMP3	spleen
LAMP3	stomach 1
LAMP3	stomach 2
LAMP3	spleen
LAMP3	soft tissue 1
LAMP3	soft tissue 1
LAMP3	soft tissue 2
LAMP3	soft tissue 1
LAMP3	cerebral cortex
LAMP3	testis
LAMP3	thyroid gland
LAMP3	soft tissue 2
LAMP3	testis
LAMP3	cerebellum
LAMP3	cerebellum
LAMP3	cerebral cortex
LAMP3	cerebellum
PIK3C3	caudate
PIK3C3	breast
PIK3C3	breast
PIK3C3	breast
PIK3C3	bronchus
PIK3C3	colon
PIK3C3	colon
PIK3C3	duodenum
PIK3C3	appendix
PIK3C3	appendix
PIK3C3	bone marrow
PIK3C3	oral mucosa
PIK3C3	fallopian tube
PIK3C3	ovary
PIK3C3	ovary
PIK3C3	pancreas
PIK3C3	caudate
PIK3C3	cerebellum
PIK3C3	cerebellum
PIK3C3	cerebellum
PIK3C3	adrenal gland
PIK3C3	liver
PIK3C3	lung
PIK3C3	lung
PIK3C3	lymph node
PIK3C3	esophagus
PIK3C3	cervix, uterine
PIK3C3	colon
PIK3C3	skin 2
PIK3C3	small intestine
PIK3C3	smooth muscle
PIK3C3	soft tissue 1
PIK3C3	soft tissue 1
PIK3C3	endometrium 1
PIK3C3	endometrium 1
PIK3C3	endometrium 2
PIK3C3	endometrium 2
PIK3C3	epididymis
PIK3C3	cerebral cortex
PIK3C3	spleen
PIK3C3	stomach 1
PIK3C3	stomach 2
PIK3C3	testis
PIK3C3	testis
PIK3C3	thyroid gland
PIK3C3	tonsil
PIK3C3	tonsil
PIK3C3	tonsil
PIK3C3	urinary bladder
PIK3C3	vagina
PIK3C3	cerebral cortex
PIK3C3	soft tissue 2
PIK3C3	cervix, uterine
PIK3C3	lymph node
PIK3C3	nasopharynx
PIK3C3	prostate
PIK3C3	pancreas
PIK3C3	parathyroid gland
PIK3C3	placenta
PIK3C3	soft tissue 2
PIK3C3	rectum
PIK3C3	cerebral cortex
PIK3C3	cerebral cortex
PIK3C3	skin 1
PIK3C3	skeletal muscle
PIK3C3	spleen
PIK3C3	skin 1
PIK3C3	hippocampus
PIK3C3	hippocampus
PIK3C3	gallbladder
PIK3C3	heart muscle
PIK3C3	soft tissue 2
PIK3C3	seminal vesicle
PIK3C3	soft tissue 1
PIK3C3	soft tissue 1
PIK3C3	skin 1
PIK3C3	liver
PIK3C3	salivary gland
PIK3C3	skin 1
PIK3C3	kidney
PIK3C3	kidney
RAB21	appendix
RAB21	adrenal gland
RAB21	appendix
RAB21	bone marrow
RAB21	skin 1
RAB21	stomach 1
RAB21	soft tissue 2
RAB21	spleen
RAB21	skeletal muscle
RAB21	spleen
RAB21	lymph node
RAB21	nasopharynx
RAB21	oral mucosa
RAB21	ovary
RAB21	breast
RAB21	breast
RAB21	breast
RAB21	bronchus
RAB21	caudate
RAB21	soft tissue 2
RAB21	endometrium 1
RAB21	soft tissue 2
RAB21	cerebellum
RAB21	cerebral cortex
RAB21	cerebral cortex
RAB21	skin 1
RAB21	skin 1
RAB21	skin 1
RAB21	skin 2
RAB21	small intestine
RAB21	smooth muscle
RAB21	soft tissue 1
RAB21	caudate
RAB21	cerebellum
RAB21	cerebellum
RAB21	lung
RAB21	soft tissue 2
RAB21	endometrium 2
RAB21	stomach 2
RAB21	testis
RAB21	testis
RAB21	thyroid gland
RAB21	tonsil
RAB21	tonsil
RAB21	tonsil
RAB21	soft tissue 1
RAB21	endometrium 1
RAB21	prostate
RAB21	rectum
RAB21	lung
RAB21	lymph node
RAB21	liver
RAB21	cerebral cortex
RAB21	cerebral cortex
RAB21	ovary
RAB21	pancreas
RAB21	pancreas
RAB21	parathyroid gland
RAB21	placenta
RAB21	placenta
RAB21	urinary bladder
RAB21	vagina
RAB21	salivary gland
RAB21	seminal vesicle
RAB21	cervix, uterine
RAB21	colon
RAB21	colon
RAB21	cervix, uterine
RAB21	duodenum
RAB21	esophagus
RAB21	hippocampus
RAB21	colon
RAB21	endometrium 2
RAB21	hippocampus
RAB21	fallopian tube
RAB21	kidney
RAB21	epididymis
RAB21	liver
RAB21	gallbladder
RAB21	heart muscle
RAB21	kidney
PSEN1	kidney
PSEN1	caudate
PSEN1	caudate
PSEN1	liver
PSEN1	colon
PSEN1	tonsil
PSEN1	tonsil
PSEN1	adrenal gland
PSEN1	cerebellum
PSEN1	fallopian tube
PSEN1	gallbladder
PSEN1	heart muscle
PSEN1	hippocampus
PSEN1	hippocampus
PSEN1	breast
PSEN1	bronchus
PSEN1	prostate
PSEN1	rectum
